feature,mean_abs_shap
record_count,0.0
소입로_온도_4_Zone_mean,0.0
소입로_온도_3_Zone_std,0.0
소입로_온도_3_Zone_min,0.0
소입로_온도_3_Zone_max,0.0
소입로_온도_3_Zone_range,0.0
소입로_온도_3_Zone_cv,0.0
소입로_온도_3_Zone_trend,0.0
소입로_온도_4_Zone_std,0.0
소입로_CP_값_max,0.0
소입로_온도_4_Zone_min,0.0
소입로_온도_4_Zone_max,0.0
소입로_온도_4_Zone_range,0.0
소입로_온도_4_Zone_cv,0.0
소입로_온도_4_Zone_trend,0.0
솔트_컨베이어_온도_1_Zone_mean,0.0
소입로_온도_3_Zone_mean,0.0
소입로_온도_2_Zone_trend,0.0
소입로_온도_2_Zone_cv,0.0
소입로_온도_2_Zone_range,0.0
소입로_온도_2_Zone_max,0.0
소입로_온도_2_Zone_min,0.0
소입로_온도_2_Zone_std,0.0
소입로_온도_2_Zone_mean,0.0
소입로_온도_1_Zone_trend,0.0
소입로_온도_1_Zone_cv,0.0
소입로_온도_1_Zone_range,0.0
소입로_온도_1_Zone_max,0.0
소입로_온도_1_Zone_min,0.0
소입로_온도_1_Zone_std,0.0
소입로_온도_1_Zone_mean,0.0
소입로_CP_값_trend,0.0
소입로_CP_값_cv,0.0
솔트_컨베이어_온도_1_Zone_std,0.0
솔트_컨베이어_온도_1_Zone_min,0.0
솔트_컨베이어_온도_1_Zone_max,0.0
솔트조_온도_1_Zone_trend,0.0
솔트컨베이어_온도_mean_diff,0.0
소입로_온도_gradient_mean,0.0
소입로_온도_1_4_mean_diff,0.0
건조_온도_mean_diff,0.0
소입_OP_inner_diff,0.0
소입_OP_front_back_diff,0.0
건조_OP_mean_diff,0.0
솔트조_온도_2_Zone_trend,0.0
솔트조_온도_2_Zone_cv,0.0
솔트조_온도_2_Zone_range,0.0
솔트조_온도_2_Zone_max,0.0
솔트조_온도_2_Zone_min,0.0
솔트조_온도_2_Zone_std,0.0
솔트조_온도_2_Zone_mean,0.0
솔트조_온도_1_Zone_cv,0.0
솔트_컨베이어_온도_1_Zone_range,0.0
솔트조_온도_1_Zone_range,0.0
솔트조_온도_1_Zone_max,0.0
솔트조_온도_1_Zone_min,0.0
솔트조_온도_1_Zone_std,0.0
솔트조_온도_1_Zone_mean,0.0
솔트_컨베이어_온도_2_Zone_trend,0.0
솔트_컨베이어_온도_2_Zone_cv,0.0
솔트_컨베이어_온도_2_Zone_range,0.0
솔트_컨베이어_온도_2_Zone_max,0.0
솔트_컨베이어_온도_2_Zone_min,0.0
솔트_컨베이어_온도_2_Zone_std,0.0
솔트_컨베이어_온도_2_Zone_mean,0.0
솔트_컨베이어_온도_1_Zone_trend,0.0
솔트_컨베이어_온도_1_Zone_cv,0.0
소입로_CP_값_range,0.0
소입로_CP_값_min,0.0
duration_minutes,0.0
건조로_온도_2_Zone_std,0.0
건조로_온도_1_Zone_min,0.0
건조로_온도_1_Zone_max,0.0
건조로_온도_1_Zone_range,0.0
건조로_온도_1_Zone_cv,0.0
건조로_온도_1_Zone_trend,0.0
건조로_온도_2_Zone_mean,0.0
건조로_온도_2_Zone_min,0.0
소입로_CP_값_std,0.0
건조로_온도_2_Zone_max,0.0
건조로_온도_2_Zone_range,0.0
건조로_온도_2_Zone_cv,0.0
건조로_온도_2_Zone_trend,0.0
세정기_mean,0.0
세정기_std,0.0
건조로_온도_1_Zone_std,0.0
건조로_온도_1_Zone_mean,0.0
건조_2존_OP_trend,0.0
건조_2존_OP_cv,0.0
건조_2존_OP_range,0.0
건조_2존_OP_max,0.0
건조_2존_OP_min,0.0
건조_2존_OP_std,0.0
건조_2존_OP_mean,0.0
건조_1존_OP_trend,0.0
건조_1존_OP_cv,0.0
건조_1존_OP_range,0.0
건조_1존_OP_max,0.0
건조_1존_OP_min,0.0
건조_1존_OP_std,0.0
건조_1존_OP_mean,0.0
avg_interval_seconds,0.0
세정기_min,0.0
세정기_max,0.0
세정기_range,0.0
소입3존_OP_mean,0.0
소입로_CP_값_mean,0.0
소입4존_OP_trend,0.0
소입4존_OP_cv,0.0
소입4존_OP_range,0.0
소입4존_OP_max,0.0
소입4존_OP_min,0.0
소입4존_OP_std,0.0
소입4존_OP_mean,0.0
소입3존_OP_trend,0.0
소입3존_OP_cv,0.0
소입3존_OP_range,0.0
소입3존_OP_max,0.0
소입3존_OP_min,0.0
소입3존_OP_std,0.0
소입2존_OP_trend,0.0
세정기_cv,0.0
소입2존_OP_cv,0.0
소입2존_OP_range,0.0
소입2존_OP_max,0.0
소입2존_OP_min,0.0
소입2존_OP_std,0.0
소입2존_OP_mean,0.0
소입1존_OP_trend,0.0
소입1존_OP_cv,0.0
소입1존_OP_range,0.0
소입1존_OP_max,0.0
소입1존_OP_min,0.0
소입1존_OP_std,0.0
소입1존_OP_mean,0.0
세정기_trend,0.0
솔트조_온도_mean_diff,0.0
