LOT_NO,작업일,작업일_최신,양품수량,불량수량,총수량,불량률,건조로_온도_1_Zone_mean,건조로_온도_1_Zone_std,건조로_온도_1_Zone_max,건조로_온도_1_Zone_min,건조로_온도_1_Zone_range,건조로_온도_2_Zone_mean,건조로_온도_2_Zone_std,건조로_온도_2_Zone_max,건조로_온도_2_Zone_min,건조로_온도_2_Zone_range,소입로_온도_1_Zone_mean,소입로_온도_1_Zone_std,소입로_온도_1_Zone_max,소입로_온도_1_Zone_min,소입로_온도_1_Zone_range,소입로_온도_2_Zone_mean,소입로_온도_2_Zone_std,소입로_온도_2_Zone_max,소입로_온도_2_Zone_min,소입로_온도_2_Zone_range,소입로_온도_3_Zone_mean,소입로_온도_3_Zone_std,소입로_온도_3_Zone_max,소입로_온도_3_Zone_min,소입로_온도_3_Zone_range,소입로_온도_4_Zone_mean,소입로_온도_4_Zone_std,소입로_온도_4_Zone_max,소입로_온도_4_Zone_min,소입로_온도_4_Zone_range,소입로_CP_값_mean,소입로_CP_값_std,소입로_CP_값_max,소입로_CP_값_min,소입로_CP_값_range,솔트조_온도_1_Zone_mean,솔트조_온도_1_Zone_std,솔트조_온도_1_Zone_max,솔트조_온도_1_Zone_min,솔트조_온도_1_Zone_range,솔트조_온도_2_Zone_mean,솔트조_온도_2_Zone_std,솔트조_온도_2_Zone_max,솔트조_온도_2_Zone_min,솔트조_온도_2_Zone_range,솔트_컨베이어_온도_1_Zone_mean,솔트_컨베이어_온도_1_Zone_std,솔트_컨베이어_온도_2_Zone_mean,솔트_컨베이어_온도_2_Zone_std,세정기_mean,세정기_std
HZC03,2022.3.8,2022.3.9 12:43,75695,30,75725,0.00039617,99.99059156,0.308870875,100.945,98.441,2.504,99.97799937,0.265453644,100.696,98.2491,2.4469,859.3942727,1.764977147,865.771,852.343,13.428,859.9983372,0.308970043,861.296,858.867,2.429,860.0051878,0.18650975,860.612,859.208,1.404,860.0012001,0.224193028,860.828,859.095,1.733,0.450067716,0.001873533,0.463183,0.439765,0.023418,332.0116363,0.086581756,332.314,331.715,0.599,332.3231369,0.062263915,332.532,332.107,0.425,283.1895149,9.668451698,279.4715292,6.593736925,66.71980988,0.486478459
HZB03,2022.2.17,2022.2.19 18:45,41745,22,41767,0.000526732,99.99475105,0.553267751,101.893564,97.69337651,4.200187526,99.99949091,0.412368992,101.3629224,98.49169268,2.871229677,859.0117804,3.12222783,868.4208222,847.6076956,20.81312661,859.9990668,0.530866191,861.7907291,857.8244467,3.966282424,860.0106285,0.346807083,860.9088965,858.8433922,2.065504226,860.0111062,0.366834527,861.4623829,858.9045395,2.557843369,0.450426236,0.003601808,0.467808555,0.436325033,0.031483522,331.9597754,0.095899893,332.2112602,331.6254837,0.58577645,332.1219709,0.093364768,332.3520803,331.8382262,0.513854095,282.4726361,9.462225576,279.2017895,5.922436924,65.09342541,0.403188343
HZC01,2022.3.4,2022.3.5 1:36,89775,3,89778,3.34E-05,100.0005282,0.338401625,101.754,97.8472,3.9068,100.00074,0.245159842,101.325,98.5903,2.7347,859.433725,2.220521964,872.325,849.109,23.216,859.9992346,0.368330993,861.706,858.451,3.255,860.00183,0.247598477,860.913,859.173,1.74,860.0022255,0.30898297,861.688,858.226,3.462,0.450051057,0.002474332,0.465444,0.4353615,0.0300825,331.8941717,0.086661997,332.145,331.444,0.701,332.5162748,0.089122235,332.798,332.097,0.701,283.8714528,9.557559508,279.8897207,6.602773337,67.31679408,0.356409134
HZB11,2022.3.1,2022.3.2 12:17,45471,10,45481,0.000219872,99.99491779,0.423528241,102.307,98.2296,4.0774,100.0119681,0.376462727,101.656,98.2153,3.4407,859.7905181,2.865034684,872.044,849.423,22.621,860.0070772,0.502545507,862.036,857.948,4.088,859.9953207,0.33574489,860.897,858.911,1.986,860.0012871,0.347397264,861.38,858.934,2.446,0.450146016,0.003024487,0.47112,0.431665,0.039455,331.848124,0.127453347,332.19,331.347,0.843,332.4404595,0.225012517,332.787,331.817,0.97,283.7829253,9.612464437,279.5931156,6.624043767,65.73961425,0.565632263
HZA08,2022.1.14,2022.1.14 14:47,9020,3,9023,0.000332484,99.9974279,0.758295929,101.993,97.9102,4.0828,100.0468863,0.598632687,101.576,98.4797,3.0963,858.7922663,2.862064906,863.392,849.813,13.579,859.898922,0.4429753,860.801,858.357,2.444,859.9216343,0.262060599,860.56,859.328,1.232,860.007808,0.410984263,861.822,858.719,3.103,0.449806766,0.004557815,0.47004,0.418873,0.051167,329.0372506,0.093990526,329.269,328.726,0.543,329.4926988,0.068403772,329.648,329.307,0.341,280.8981319,8.7718663,279.9373319,6.295962006,64.65472992,0.298335453
HZB10,2022.3.1,2022.3.1 14:41,30019,6,30025,0.000199833,100.0005595,0.430479522,101.817,98.1054,3.7116,99.98149321,0.369037193,101.419,98.3714,3.0476,859.7583476,3.056921435,871.81,849.054,22.756,860.015811,0.412279332,861.269,858.446,2.823,859.9996579,0.212870697,860.734,859.369,1.365,860.0011221,0.355041717,861.261,858.79,2.471,0.450229018,0.00301106,0.467278,0.434224,0.033054,331.9312342,0.093297761,332.292,331.657,0.635,332.471439,0.078212612,332.683,332.235,0.448,283.3676479,9.564307146,279.7368507,6.506991147,66.65086686,0.420008138
HZC06,2022.3.10,2022.3.12 6:20,89624,14,89638,0.000156184,99.99416478,0.45292588,101.4836367,98.0636412,3.419995499,100.0058454,0.357486186,101.1894869,98.52181919,2.667667754,859.1716566,2.878238907,870.2327975,848.5431735,21.68962401,860.0047941,0.566340299,862.2387986,857.553054,4.685744673,860.0019141,0.332077509,861.245325,858.6421776,2.603147426,860.0047247,0.314240837,861.3996663,858.7841846,2.615481726,0.450392918,0.002172465,0.461095234,0.44226072,0.018834514,331.9937672,0.09714257,332.3071637,331.6704933,0.636670341,332.1673065,0.113611525,332.4451759,331.8014823,0.643693545,283.7118974,9.560617333,279.8781009,6.488476128,67.97273507,0.324511145
HZA10,2022.1.17,2022.1.17 17:39,44825,1,44826,2.23E-05,100.0066186,0.387848553,101.45,98.3456,3.1044,99.99267894,0.281410556,101.195,98.6647,2.5303,859.5484023,2.472153965,871.419,851.964,19.455,860.0043373,0.32884319,861.159,859.103,2.056,859.9903709,0.225814807,860.995,859.254,1.741,860.0013613,0.40210204,862.125,858.31,3.815,0.450012061,0.002590336,0.463185,0.434564,0.028621,332.1829268,0.099304907,332.493,331.893,0.6,332.4072925,0.107414006,332.64,332.117,0.523,283.1217837,9.427313683,279.1116147,6.065028968,66.22141185,0.75462408
HZA14,2022.1.25,2022.1.26 6:19,89616,1,89617,1.12E-05,99.99722163,0.397989272,101.756,98.0614,3.6946,99.99587071,0.264502511,101.384,98.6671,2.7169,859.5848451,2.060538859,871.051,850.987,20.064,860.011244,0.37406126,862.046,858.948,3.098,860.0013199,0.259749806,860.689,859.143,1.546,859.9984484,0.299243963,861.754,858.746,3.008,0.450131624,0.002713905,0.465954,0.432447,0.033507,332.1864507,0.087139656,332.458,331.87,0.588,332.4037922,0.101773339,332.671,332.07,0.601,283.0420987,9.453826818,279.3398175,6.292982487,68.02967382,0.6865841
HZB05,2022.2.21,2022.2.22 9:04,74537,46,74583,0.000616763,99.99413698,0.460472692,102.269,97.6224,4.6466,99.99308606,0.370185248,101.563,98.2965,3.2665,859.6877682,2.354420575,871.029,850.597,20.432,860.0082022,0.329969705,861.431,858.218,3.213,859.9963575,0.202768836,860.652,859.328,1.324,860.0019834,0.374568538,861.868,858.158,3.71,0.449400995,0.00513541,0.469162,0.410689,0.058473,331.9143711,0.132661402,332.393,331.445,0.948,332.1087692,0.235574914,332.664,331.427,1.237,282.9341833,9.372912066,279.1032083,6.16352537,65.15502089,0.779810418
