LOT_NO,건조_1존_OP_mean,건조_1존_OP_std,건조_1존_OP_min,건조_1존_OP_max,건조_2존_OP_mean,건조_2존_OP_std,건조_2존_OP_min,건조_2존_OP_max,건조로_온도_1_Zone_mean,건조로_온도_1_Zone_std,건조로_온도_1_Zone_min,건조로_온도_1_Zone_max,건조로_온도_2_Zone_mean,건조로_온도_2_Zone_std,건조로_온도_2_Zone_min,건조로_온도_2_Zone_max,세정기_mean,세정기_std,세정기_min,세정기_max,소입1존_OP_mean,소입1존_OP_std,소입1존_OP_min,소입1존_OP_max,소입2존_OP_mean,소입2존_OP_std,소입2존_OP_min,소입2존_OP_max,소입3존_OP_mean,소입3존_OP_std,소입3존_OP_min,소입3존_OP_max,소입4존_OP_mean,소입4존_OP_std,소입4존_OP_min,소입4존_OP_max,소입로_CP_값_mean,소입로_CP_값_std,소입로_CP_값_min,소입로_CP_값_max,소입로_온도_1_Zone_mean,소입로_온도_1_Zone_std,소입로_온도_1_Zone_min,소입로_온도_1_Zone_max,소입로_온도_2_Zone_mean,소입로_온도_2_Zone_std,소입로_온도_2_Zone_min,소입로_온도_2_Zone_max,소입로_온도_3_Zone_mean,소입로_온도_3_Zone_std,소입로_온도_3_Zone_min,소입로_온도_3_Zone_max,소입로_온도_4_Zone_mean,소입로_온도_4_Zone_std,소입로_온도_4_Zone_min,소입로_온도_4_Zone_max,솔트_컨베이어_온도_1_Zone_mean,솔트_컨베이어_온도_1_Zone_std,솔트_컨베이어_온도_1_Zone_min,솔트_컨베이어_온도_1_Zone_max,솔트_컨베이어_온도_2_Zone_mean,솔트_컨베이어_온도_2_Zone_std,솔트_컨베이어_온도_2_Zone_min,솔트_컨베이어_온도_2_Zone_max,솔트조_온도_1_Zone_mean,솔트조_온도_1_Zone_std,솔트조_온도_1_Zone_min,솔트조_온도_1_Zone_max,솔트조_온도_2_Zone_mean,솔트조_온도_2_Zone_std,솔트조_온도_2_Zone_min,솔트조_온도_2_Zone_max,건조_1존_OP_range,건조_1존_OP_cv,건조_2존_OP_range,건조_2존_OP_cv,건조로_온도_1_Zone_range,건조로_온도_1_Zone_cv,건조로_온도_2_Zone_range,건조로_온도_2_Zone_cv,세정기_range,세정기_cv,소입1존_OP_range,소입1존_OP_cv,소입2존_OP_range,소입2존_OP_cv,소입3존_OP_range,소입3존_OP_cv,소입4존_OP_range,소입4존_OP_cv,소입로_CP_값_range,소입로_CP_값_cv,소입로_온도_1_Zone_range,소입로_온도_1_Zone_cv,소입로_온도_2_Zone_range,소입로_온도_2_Zone_cv,소입로_온도_3_Zone_range,소입로_온도_3_Zone_cv,소입로_온도_4_Zone_range,소입로_온도_4_Zone_cv,솔트_컨베이어_온도_1_Zone_range,솔트_컨베이어_온도_1_Zone_cv,솔트_컨베이어_온도_2_Zone_range,솔트_컨베이어_온도_2_Zone_cv,솔트조_온도_1_Zone_range,솔트조_온도_1_Zone_cv,솔트조_온도_2_Zone_range,솔트조_온도_2_Zone_cv,duration_minutes,record_count,avg_interval_seconds,소입1존_OP_gt850_ratio,소입2존_OP_gt850_ratio,소입3존_OP_gt850_ratio,소입4존_OP_gt850_ratio,소입로_CP_값_gt850_ratio,소입로_온도_1_Zone_gt850_ratio,소입로_온도_2_Zone_gt850_ratio,소입로_온도_3_Zone_gt850_ratio,소입로_온도_4_Zone_gt850_ratio,건조_OP_mean_diff,소입_OP_front_back_diff,소입_OP_inner_diff,소입로_온도_1_4_mean_diff,소입로_온도_gradient_mean,솔트조_온도_mean_diff,양품수량,불량수량,총수량,불량률
HZC03,70.54210793501686,2.2077124660128775,58.78020000000001,81.3363,19.899613834244903,2.195358181237718,11.107,30.3089,99.99059155799304,0.3088708754728869,98.441,100.945,99.97799936867989,0.2654536444608868,98.2491,100.696,66.71980988423496,0.4864784591339742,65.2703,67.6473,77.88285481208764,17.57917690525079,0.0688112,100.0,56.13445796126429,1.5989969184631334,47.9932,65.1286,52.87374706166768,1.2203653979740956,45.3096,60.307199999999995,71.18387596286678,1.3613750192637941,63.9342,79.5822,0.4500677163480135,0.0018735331138814968,0.43976499999999996,0.463183,859.3942726556887,1.7649771466274924,852.343,865.771,859.9983371691441,0.308970043382427,858.867,861.296,860.0051878211858,0.18650974956362637,859.208,860.612,860.0012001022269,0.224193027840353,859.095,860.828,283.1895149334144,9.668451698361292,268.386,296.923,279.4715291622921,6.593736925201785,268.649,290.476,332.01163632093716,0.08658175593748786,331.715,332.314,332.3231369149583,0.062263914957576216,332.107,332.532,22.556099999999994,0.03129637787471016,19.201900000000002,0.11032164742110542,2.5039999999999907,0.0030889993814442675,2.4468999999999994,0.0026551205879005164,2.3769999999999953,0.007291364588389254,99.9311888,0.2257130526052886,17.135400000000004,0.02848512262408456,14.997599999999997,0.023080743578675438,15.648000000000003,0.01912476668134731,0.023417999999999994,0.004162780501307481,13.427999999999997,0.002053745530760152,2.4290000000000873,0.0003592681869588998,1.4039999999999964,0.00021687049357940137,1.7329999999999472,0.0002606892034728597,28.536999999999978,0.0341412770901303,21.826999999999998,0.02359359089266203,0.5990000000000464,0.00026077928140384244,0.4249999999999545,0.00018735955472612667,613.0,36194.0,1.016218605807753,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,50.642494100771955,6.698978849220865,3.260710899596617,-0.6069274465381795,0.20230914884605986,-0.3115005940211404,75695.0,30.0,75725.0,0.0003961703532518983
HZB03,72.85616775475087,3.553661557881621,56.28750559293222,84.19115579763928,21.00790128775551,3.158467165446394,6.220027283740753,28.5427079799842,99.99796399022043,0.5562802509899424,97.69337650776929,101.8935640338066,100.00122240664312,0.41490248864616386,98.49169267843034,101.36292235496924,65.0976585939292,0.4037684164426029,64.25339790025619,65.88200070390499,75.26391047575588,25.183956498612304,0.04457293552325999,100.0,57.26157857125086,2.4539825768335457,46.191555500754184,65.88352234060383,53.77286360158206,1.8627985373027005,47.27000484353677,61.040107927311034,70.05877072938821,1.9403982342519865,62.11140287308162,78.50578518208155,0.4503754592612072,0.003547867506021186,0.4363250333995739,0.4674283962218977,858.8876031555499,2.9471228532667646,847.6076955970025,867.9391373333015,859.9898794540375,0.5269777031360854,857.8244466923647,861.790729116288,860.0049491086652,0.3449057696783339,858.8433922474682,860.9088964732922,860.0075326264424,0.3680642067753471,858.9045394929011,861.4623828620681,282.6040971870754,9.423650245947641,268.5770820743649,296.1582605645605,279.25380441461175,5.933355516790466,270.2761976680154,287.9323002609716,331.9590949623396,0.09595288835326209,331.62548370723295,332.21126015754066,332.12141251253104,0.09329229006990582,331.8382262312352,332.3520803265736,27.903650204707066,0.0489210555433978,22.322680696243445,0.1529720846321963,4.200187526037299,0.005562966437003486,2.8712296765388996,0.004148925592914467,1.6286028036488105,0.006199245989647726,99.95542706447674,0.33461897359235154,19.69196683984965,0.0428663228101085,13.770103083774274,0.03464198493021942,16.39438230899993,0.02770524428878332,0.03110336282232384,0.007877563931277925,20.33144173629898,0.0034314405801482554,3.966282423923179,0.0006127726696169391,2.0655042258242196,0.0004010509844482741,2.557843369167019,0.00042797852072387843,27.581178490195647,0.033345993414187355,17.656102592956174,0.021247952645499366,0.5857764503076875,0.00028904914241757946,0.5138540953384343,0.0002808969971723131,204.56939689228338,12062.722484257907,1.0176573336994126,0.0,0.0,0.0,0.0,0.0,0.9771557341977026,1.0,1.0,1.0,51.84826646699536,5.205139746367653,3.4887149696688002,-1.1199294708924667,0.37330982363082227,-0.16231755019143626,41745.0,22.0,41767.0,0.0005267316302343956
HZC01,71.72676625188979,2.3628972197352036,54.5157,83.4974,18.88903101975128,2.6182607644603975,4.13005,27.161199999999997,100.00052820125167,0.33840162513160715,97.84720000000002,101.75399999999999,100.00073996830044,0.24515984150871642,98.59029999999998,101.325,67.31679408071203,0.35640913372254107,66.5857,68.3143,78.70237205459644,18.074594346397127,0.154168,100.0,58.9590836810534,1.8411955506466906,47.86229999999999,67.021,53.24576604218483,1.7234867497124216,43.7878,63.151,71.61742532382345,1.6754460248741085,63.59649999999999,81.6423,0.45005105663984396,0.0024743319578238543,0.43536150000000007,0.465444,859.4337249817119,2.2205219638128235,849.109,872.325,859.9992345891246,0.36833099272937503,858.451,861.7060000000001,860.0018299683004,0.2475984765073171,859.173,860.9129999999999,860.0022254693978,0.30898297029259886,858.2259999999999,861.688,283.87145280012925,9.557559508003646,269.374,297.403,279.8897206534991,6.602773336722933,269.139,290.877,331.8941717264082,0.086661997277229,331.444,332.145,332.5162747866374,0.08912223511580429,332.097,332.798,28.981699999999996,0.03294303289008165,23.03115,0.13861276217518084,3.906800000000004,0.0033839983769942883,2.7347000000000037,0.002451580274170276,1.7286000000000001,0.005294505458700407,99.84583200000002,0.2296575550970515,19.158700000000003,0.031228361020786383,19.363200000000006,0.032368522003176005,18.045800000000007,0.023394390643037728,0.030082500000000012,0.005497891675441511,23.216000000000008,0.0025837035471933277,3.2549999999999955,0.0004282922331964049,1.740000000000009,0.00028790459261748727,3.4619999999999886,0.0003592815938632634,28.028999999999993,0.03366861800905714,21.738,0.023590624626393858,0.700999999999965,0.00026111334473407824,0.7010000000000218,0.00026802367845901834,697.0,41010.0,1.019776146699505,0.0,0.0,0.0,0.0,0.0,0.9955864423311389,1.0,1.0,1.0,52.8377352321385,7.084946730772984,5.713317638868567,-0.5685004876860376,0.18950016256201252,-0.6221030602291648,89775.0,3.0,89778.0,3.3415758871883984e-05
HZB11,71.92586353730664,3.3293318034712267,51.1655,82.4525,19.549384179253867,3.7699363231116503,2.14252,28.9736,99.994917788899,0.42352824129643335,98.22959999999999,102.307,100.0119680868972,0.3764627265952484,98.2153,101.656,65.73961425159236,0.5656322632760977,64.1159,66.8276,72.16658647128753,22.627447536181315,0.047384300000000004,100.0,57.19621511828935,2.6486331091700963,43.901,67.3658,53.00186469290264,2.0075628061084787,44.6335,61.2248,70.10177012511375,1.7260769718736144,60.5315,78.8588,0.45014601578707913,0.003024487352456137,0.431665,0.47112,859.7905181073703,2.865034683676834,849.423,872.044,860.0070771838034,0.5025455065562593,857.948,862.036,859.995320655141,0.3357448899819994,858.911,860.897,860.0012871474067,0.34739726424194484,858.934,861.38,283.7829253184713,9.61246443660662,268.95,297.17,279.5931155595996,6.624043767367358,268.996,290.318,331.8481239763421,0.12745334737117917,331.347,332.19,332.44045948589627,0.22501251712346207,331.817,332.787,31.287,0.04628838139349363,26.831080000000004,0.19284169202180645,4.077399999999997,0.004235497669897095,3.440700000000007,0.0037641767660061645,2.7117000000000075,0.00860413115768164,99.95261569999998,0.31354465608795223,23.46479999999999,0.04630783879129715,16.591300000000004,0.03787721088192784,18.3273,0.024622444893945022,0.03945499999999996,0.00671890285903748,22.62099999999998,0.003332247359488849,4.087999999999965,0.000584350431396338,1.9860000000001037,0.00039040315908490096,2.4460000000000264,0.00040394970267341004,28.220000000000027,0.03387259619590985,21.322000000000003,0.023691727008762275,0.8430000000000177,0.00038407132107296616,0.9699999999999704,0.0006768505779093,372.0,21980.0,1.0155148095909732,0.0,0.0,0.0,0.0,0.0,0.9937215650591447,1.0,1.0,1.0,52.37647935805278,2.064816346173785,4.194350425386716,-0.21076904003632535,0.07025634667877512,-0.5923355095541751,45471.0,10.0,45481.0,0.00021987203447593502
HZA08,73.25184198168583,4.634548660170519,55.3443,84.3275,23.586075379196995,4.539931419590629,8.41146,30.818799999999996,99.9843016200986,0.7568947167574875,97.9102,101.993,100.05599747593332,0.5987851204949507,98.4797,101.576,64.65008701573139,0.2982949641454797,64.2251,65.489,73.41038915238319,21.925078025487146,10.9589,100.0,43.35144900211318,2.3963043125368535,35.0748,55.5028,52.23564771073022,1.473521254383769,46.5134,57.8819,70.30193118102841,1.7222019103672586,64.1781,78.0035,0.44978180488377556,0.004565632707759188,0.418873,0.47004000000000007,858.8373921108242,2.860977898505818,849.813,863.392,859.8895804179384,0.440063803528386,858.357,860.801,859.9250459027941,0.2626009986089834,859.328,860.56,859.9820165531814,0.35829816288696287,858.719,861.405,280.71225393284806,8.713381726108894,268.737,295.304,279.85477224700634,6.31036052424919,269.58,288.238,329.0379425921578,0.09445778519121244,328.726,329.269,329.492887649683,0.06884216822867,329.307,329.648,28.983200000000004,0.06326869788925216,22.407339999999998,0.19248354576170248,4.082799999999992,0.00757013555621354,3.0962999999999994,0.005984500035982128,1.2639000000000067,0.004613991688408636,89.0411,0.29866451163984015,20.427999999999997,0.055276221849471396,11.368500000000004,0.028209112339217326,13.825400000000002,0.024497220509242707,0.05116700000000002,0.010150772348247737,13.579000000000065,0.003331221864332425,2.4440000000000737,0.0005117678054832325,1.231999999999971,0.0003053766137643906,2.685999999999922,0.00041663448303608296,26.56699999999995,0.031040261349592906,18.658000000000015,0.02254869721742504,0.5430000000000064,0.00028707262283211144,0.3410000000000082,0.00020893370026810117,73.0,4259.0,1.0286519492719586,0.0,0.0,0.0,0.0,0.0,0.9880253580652737,1.0,1.0,1.0,49.66576660248883,3.108457971354781,-8.884198708617042,-1.1446244423572125,0.3815414807857375,-0.4549450575252081,9020.0,3.0,9023.0,0.0003324836528870664
HZB10,71.59343457888905,2.953833438664761,55.1579,81.9598,19.34248388731126,2.7101654061252924,6.18196,28.4844,100.00055952694278,0.43047952190633293,98.1054,101.817,99.98149320543011,0.3690371929972728,98.3714,101.419,66.65086685829061,0.42000813767499245,65.7,67.5919,72.82469059980123,23.46625311420051,0.00384459,100.0,57.44987791591633,2.0412697422739727,48.6884,67.7443,53.59597530475135,1.2625085848130495,47.7187,60.0237,70.40341024726416,1.7747137827782034,62.1663,80.30159999999998,0.45022901825045025,0.003011060005856013,0.434224,0.467278,859.7583475896939,3.05692143456794,849.054,871.81,860.0158109502701,0.41227933239650555,858.446,861.269,859.999657916609,0.2128706968325532,859.369,860.734,860.0011221429561,0.35504171736215717,858.79,861.261,283.3676479429284,9.564307146121811,269.245,297.18100000000004,279.7368506718382,6.50699114677746,269.385,290.326,331.93123424296994,0.09329776063952556,331.657,332.292,332.4714390497299,0.0782126117617079,332.235,332.683,26.801900000000003,0.04125844019132679,22.30244,0.14011465238459733,3.71159999999999,0.004304771132709017,3.047600000000003,0.0036910550259438408,1.8918999999999926,0.006301615529892365,99.99615541,0.32222935546896175,19.055899999999994,0.03553131558019281,12.305,0.023556033407999694,18.135299999999994,0.025207781505827948,0.03305400000000003,0.006687840818338905,22.755999999999975,0.0035555588883061442,2.822999999999979,0.00047938575913035784,1.3650000000000093,0.0002475241645423939,2.4710000000000036,0.00041283866755599345,27.93599999999998,0.03375229040983574,20.94100000000003,0.023261115334464347,0.6349999999999909,0.00028107556931877234,0.4479999999999791,0.00023524610710999792,245.0,14438.0,1.018217081111034,0.0,0.0,0.0,0.0,0.0,0.9900955811054163,1.0,1.0,1.0,52.250950691577785,2.4212803525370674,3.853902611164976,-0.24277455326216568,0.08092485108738856,-0.5402048067599594,30019.0,6.0,30025.0,0.00019983347210657785
HZC06,70.16059336219298,3.054067796935008,55.237642690599976,81.2323769573172,20.4568971267126,3.1721158403724132,6.446320113010107,31.46609462281622,99.994164778705,0.4529258795904634,98.06364119569827,101.48363669425913,100.00584537260015,0.3574861857341351,98.52181919386867,101.18948694749996,67.97273507021767,0.3245111447497371,67.09696607465584,68.78793988040786,75.13143223647411,24.285844086836743,0.03315190946027354,100.0,55.32310267919862,2.7228264150477415,38.83727200071398,66.03518623574824,53.47176112762502,1.682397576264546,45.82112267453535,62.1872486902876,71.0083744391677,1.7420729944392004,61.58464971886922,80.14052926437448,0.45039291789053915,0.0021724646882568667,0.4422607202302595,0.4610952339409626,859.1716565527485,2.8782389068218404,848.5431734532228,870.2327974631296,860.0047941198335,0.5663402985665534,857.5530539503335,862.2387986233516,860.0019141253536,0.3320775087110733,858.6421775920925,861.2453250184075,860.0047246707871,0.3142408370329712,858.784184553426,861.3996662799259,283.7118973756309,9.560617333222547,269.1520069613333,297.0884811463888,279.8781009391734,6.488476128008746,269.7085380753698,290.49618389522294,331.99376715895096,0.09714256956987335,331.67049332872216,332.3071636694259,332.1673065044206,0.11361152502479323,331.80148230661104,332.4451758517593,25.994734266717238,0.04356839733222785,25.019774509806112,0.15573286631600602,3.419995498560877,0.004529768151066433,2.6676677536312714,0.0035749614757301074,1.690973805752025,0.004772972333368494,99.96684809053971,0.32348142743820796,27.19791423503425,0.04928496858173343,16.36612601575225,0.03149528697711642,18.55587954550526,0.024543770188714543,0.01883451371070305,0.00482339004544694,21.68962400990657,0.003350025712579316,4.68574467301816,0.0006585314706691272,2.6031474263147754,0.00038613568725298544,2.6154817264998815,0.00036539447363123607,27.936474185055438,0.03369833202691248,20.787645819853157,0.023183105062641197,0.6366703407037467,0.0002926027325664416,0.6436935451482574,0.00034203164987088564,548.2147192039091,32362.498962493584,1.0158021184551607,0.0,0.0,0.0,0.0,0.0,0.9881010114819452,1.0,1.0,1.0,49.70369623548038,4.123057797306417,1.8513415515735998,-0.8330681180386816,0.2776893726795606,-0.17353934546966013,89624.0,14.0,89638.0,0.00015618376135121266
HZA10,73.50279642019406,2.6457713310270905,56.3234,83.4612,21.21816957724704,2.218327003049726,9.08299,30.2601,100.00661856807761,0.387848553122945,98.3456,101.45,99.99267894498347,0.28141055590529757,98.6647,101.19499999999998,66.22141184561254,0.7546240797794515,64.5949,67.5821,77.30142971754985,18.34289461205583,0.0420591,100.0,45.968780632263574,2.228715092904027,37.4391,56.3227,49.83900364377865,1.5360858087031428,42.7643,57.1904,70.14526895724491,2.0592311091971656,59.08379999999999,82.2048,0.4500120611205885,0.002590335547426866,0.434564,0.463185,859.5484022550379,2.4721539647733763,851.9640000000002,871.419,860.004337296087,0.3288431897444968,859.1029999999998,861.159,859.9903709084124,0.22581480670281567,859.2539999999999,860.9949999999999,860.0013612591961,0.4021020404371788,858.3099999999998,862.125,283.1217837189466,9.427313682997346,267.289,295.687,279.11161469772895,6.065028968217816,269.46,288.711,332.1829268045634,0.09930490709584892,331.893,332.493,332.4072925151935,0.1074140055647172,332.117,332.64,27.137800000000002,0.03599551935278744,21.17711,0.10454846234373173,3.1043999999999987,0.0038782288480129386,2.530299999999997,0.0028143115963532813,2.987200000000001,0.011395469512772833,99.95794089999998,0.23729049616648187,18.883599999999994,0.04848323279951839,14.426099999999998,0.030820957410830793,23.12100000000001,0.029356664245628775,0.028621000000000008,0.005756146937432286,19.454999999999927,0.002876107917003445,2.05600000000004,0.0003823738735765013,1.7409999999999854,0.0002625782966200962,3.8150000000000546,0.0004675597720548132,28.398000000000025,0.03329773343175807,19.251000000000033,0.02172976203367994,0.6000000000000227,0.00029894645113496155,0.5229999999999677,0.00032313973845747557,319.0,18758.0,1.0204190435570721,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,52.28462684294702,7.156160760304942,-3.87022301151508,-0.4529590041581741,0.15098633471939138,-0.2243657106300816,44825.0,1.0,44826.0,2.230848168473654e-05
HZA14,71.93332154225038,2.6564847279776536,56.2998,82.2144,21.904305425226475,2.2494005392268472,7.5042599999999995,29.0278,99.99722162764218,0.397989272006272,98.06140000000002,101.756,99.9958707068957,0.2645025109520902,98.6671,101.38399999999999,68.02967381689025,0.6865841002087738,66.7017,69.4206,75.42892490942528,18.904444017769457,0.0495308,100.0,44.847377679322804,2.09815198637435,33.9552,55.6761,51.15007878199099,1.5683593919481713,43.0114,59.36460000000001,68.7415037324885,1.6076279913108622,59.0022,76.1373,0.4501316240037623,0.002713904585707721,0.432447,0.465954,859.5848450943022,2.060538859385508,850.9870000000001,871.051,860.0112440225731,0.374061259637779,858.948,862.0459999999999,860.0013198851541,0.25974980611777104,859.143,860.6889999999999,859.9984484307708,0.29924396295548067,858.7460000000001,861.7539999999999,283.04209868323346,9.453826818495786,268.828,296.683,279.3398174595317,6.292982487225137,268.784,290.001,332.18645069551013,0.08713965609842458,331.87,332.458,332.4037922008811,0.10177333889032976,332.07,332.671,25.914600000000004,0.03692982154893757,21.523539999999997,0.10269216464797307,3.694599999999994,0.00398000329937423,2.7168999999999954,0.0026451343348705913,2.7188999999999908,0.01009242087587829,99.9504692,0.2506259242123606,21.7209,0.046784273572849665,16.3532,0.030661915470995563,17.135099999999994,0.02338657003441529,0.033506999999999953,0.006029135570543779,20.064000000000078,0.00239713260551895,3.0980000000000705,0.00043494926634698826,1.5459999999999354,0.00030203419472944347,3.008000000000038,0.00034795872422968625,27.855000000000018,0.033400779822071756,21.216999999999985,0.022528053982625695,0.5880000000000223,0.0002623215243005165,0.6009999999999991,0.00030617382014951625,689.0,40402.0,1.0232419989604218,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,50.02901611702391,6.68742117693678,-6.302701102668188,-0.4136033364685545,0.1378677788228515,-0.21734150537099592,89616.0,1.0,89617.0,1.1158597141167413e-05
HZB05,72.58871614150218,3.631179962689933,53.5375,87.2995,20.662926657722046,3.496422346622712,5.28188,38.9679,99.99412479210393,0.4604727350103227,97.6224,102.269,99.99310111187864,0.3701786449931134,98.2965,101.563,65.15503074736311,0.7798184339082431,63.1405,66.474,74.13523271351258,21.01014286424934,0.028016899999999997,100.0,58.81824627912537,1.8317763278876107,49.5554,70.3018,52.66112948935944,1.3601475278012334,45.2398,60.4686,70.92631120646139,2.080719853170923,60.825399999999995,82.5284,0.44940097232923293,0.005135475992155006,0.410689,0.469162,859.6877757113632,2.354451403769114,850.597,871.029,860.008201758814,0.32997407747775725,858.218,861.431,859.9963532771859,0.20276983925042205,859.328,860.652,860.0019813225643,0.37457330356291774,858.158,861.868,282.9345241637663,9.372803298538342,268.533,296.138,279.10320833444035,6.163525369585386,268.939,289.352,331.9143711974282,0.1326631625875026,331.445,332.393,332.10877118148727,0.2355777449285643,331.427,332.664,33.76199999999999,0.050024027916562464,33.68602,0.1692123484993374,4.6466000000000065,0.004604997903303655,3.2665000000000077,0.003702041849656548,3.333500000000001,0.011968660362266856,99.9719831,0.28340293940184574,20.7464,0.031142994627803264,15.228799999999998,0.025828301462391935,21.703000000000003,0.02933636076341398,0.058473,0.011427380687536065,20.432000000000016,0.0027387284899112164,3.213000000000079,0.00038368712856798684,1.3240000000000691,0.0002357798826445339,3.7100000000000364,0.0004355493495339112,27.60499999999996,0.03312711068484961,20.412999999999954,0.022083319666464863,0.9479999999999791,0.0003996909266353892,1.2369999999999663,0.0007093391243190872,639.0,37639.0,1.018651362984218,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,51.92578948378013,3.208921507051187,6.1571167897659365,-0.314205611201146,0.10473520373371532,-0.1943999840590891,74537.0,46.0,74583.0,0.0006167625330169074
