LOT_NO,작업일,작업일_최신,양품수량,불량수량,총수량,불량률,건조로_온도_1_Zone_mean,건조로_온도_1_Zone_std,건조로_온도_1_Zone_max,건조로_온도_1_Zone_min,건조로_온도_1_Zone_range,건조로_온도_2_Zone_mean,건조로_온도_2_Zone_std,건조로_온도_2_Zone_max,건조로_온도_2_Zone_min,건조로_온도_2_Zone_range,소입로_온도_1_Zone_mean,소입로_온도_1_Zone_std,소입로_온도_1_Zone_max,소입로_온도_1_Zone_min,소입로_온도_1_Zone_range,소입로_온도_2_Zone_mean,소입로_온도_2_Zone_std,소입로_온도_2_Zone_max,소입로_온도_2_Zone_min,소입로_온도_2_Zone_range,소입로_온도_3_Zone_mean,소입로_온도_3_Zone_std,소입로_온도_3_Zone_max,소입로_온도_3_Zone_min,소입로_온도_3_Zone_range,소입로_온도_4_Zone_mean,소입로_온도_4_Zone_std,소입로_온도_4_Zone_max,소입로_온도_4_Zone_min,소입로_온도_4_Zone_range,소입로_CP_값_mean,소입로_CP_값_std,소입로_CP_값_max,소입로_CP_값_min,소입로_CP_값_range,솔트조_온도_1_Zone_mean,솔트조_온도_1_Zone_std,솔트조_온도_1_Zone_max,솔트조_온도_1_Zone_min,솔트조_온도_1_Zone_range,솔트조_온도_2_Zone_mean,솔트조_온도_2_Zone_std,솔트조_온도_2_Zone_max,솔트조_온도_2_Zone_min,솔트조_온도_2_Zone_range,솔트_컨베이어_온도_1_Zone_mean,솔트_컨베이어_온도_1_Zone_std,솔트_컨베이어_온도_2_Zone_mean,솔트_컨베이어_온도_2_Zone_std,세정기_mean,세정기_std
HZE06,2022.5.16,2022.5.18 23:15,90490,42,90532,0.000463924,99.99875671,0.502856712,101.6405261,98.36922594,3.271300118,100.0174806,0.351739856,101.0421482,98.84013329,2.202014896,859.020493,4.180224045,871.5104333,848.7387392,22.7716941,859.9905992,0.639987652,861.8267837,858.0165368,3.810246907,859.9957693,0.387365589,860.9885576,858.9571063,2.03145131,859.9918986,0.357784434,861.1738661,858.8362648,2.337601235,0.449949627,0.00523756,0.480893849,0.421890801,0.059003047,332.2047284,0.119966996,332.5999255,331.8965312,0.703394319,332.5393841,0.133712383,332.8539333,332.2411255,0.612807814,284.6827742,9.538482343,280.5596403,6.666816778,69.77150816,0.56821468
HZG02,2022.7.12,2022.7.14 5:51,60201,32,60233,0.00053127,100.0396491,0.415254802,101.7771554,98.85677843,2.920376969,100.1094328,0.323251287,101.4780613,99.3660669,2.111994359,859.2445074,2.751510799,870.4495445,852.3301885,18.119356,859.9875788,0.461781356,861.8059791,858.4654055,3.340573589,859.9996813,0.296064403,860.7641038,859.0044772,1.759626633,860.0013933,0.416172356,861.162074,858.5056647,2.656409227,0.450161797,0.00355557,0.471607801,0.431293773,0.040314028,332.2603206,0.123008755,332.5675437,331.8564884,0.711055285,332.2180209,0.173751934,332.5305415,331.7425273,0.788014195,284.9660678,9.500784936,280.6812223,6.768418387,69.23196889,1.273786363
HZD04,2022.4.7,2022.4.9 3:08,89620,58,89678,0.000646758,100.0055507,0.483257084,101.8184775,98.19575251,3.622724963,99.99256514,0.496321698,101.4150854,98.02832812,3.386757267,859.0078019,3.963702716,875.1587171,845.9255007,29.23321642,860.0060729,0.586485732,862.124202,857.2603608,4.863841232,860.0105323,0.356824154,861.3607824,858.7326941,2.628088327,860.0085838,0.306370666,861.3545896,858.7848145,2.569775129,0.450180665,0.003090188,0.470531548,0.435498033,0.035033514,332.0947788,0.142910805,332.5132874,331.5780661,0.935221325,332.4308675,0.137107591,332.6992379,332.0246492,0.674588628,284.5574824,9.659209455,280.1440142,6.92514562,67.07744282,0.542296501
HYM30,2022.1.3,2022.1.3 13:27,15160,3,15163,0.00019785,99.94345982,0.593971417,101.755,97.8385,3.9165,100.0618955,0.483517773,101.247,98.4388,2.8082,859.4867858,3.574274467,870.536,847.607,22.929,860.0124179,0.400697016,861.258,858.883,2.375,860.0097473,0.281660632,860.889,859.352,1.537,860.0106227,0.553494155,862.014,858.474,3.54,0.450505033,0.005897484,0.505652,0.430979,0.074673,329.0159786,0.122710831,329.293,328.659,0.634,329.0704945,0.116509396,329.3,328.805,0.495,282.5796577,9.371322858,280.1500494,6.03402862,69.60287676,0.845302368
HZF06,2022.6.16,2022.6.17 10:54,75829,66,75895,0.000869623,100.0076466,0.306379274,101.367,98.5605,2.8065,100.0009063,0.208789646,100.954,98.8526,2.1014,858.8240075,3.093566882,872.961,847.832,25.129,859.9997732,0.514671523,861.698,856.76,4.938,860.0012717,0.312237454,861.177,858.772,2.405,859.9982869,0.296107388,861.187,858.732,2.455,0.450134613,0.003217043,0.477732,0.433973,0.043759,332.0778026,0.125707107,332.453,331.606,0.847,332.639766,0.135076497,333.127,332.295,0.832,284.4955038,9.24708284,280.2499395,6.7871013,68.78039338,0.388219509
HZG15,2022.7.12,2022.7.14 1:51,44732,5,44737,0.000111764,99.99823105,0.320028191,101.6602058,98.45039603,3.209809732,100.0368476,0.34307383,101.5728814,98.677536,2.895345441,859.993709,1.792712147,870.4470426,852.494126,17.95291656,860.0147933,0.328737464,862.0859911,858.4332872,3.652703892,859.9968673,0.241108749,860.8239545,859.0580412,1.765913383,860.0018691,0.265819724,861.2838132,858.6542765,2.629536692,0.450027703,0.002943738,0.467502145,0.433705786,0.033796359,331.9193607,0.264808538,332.5798083,331.4900227,1.089785614,331.7205089,0.394338799,332.4771212,331.1864999,1.290621298,284.5426526,9.316660208,279.9823308,6.657633796,68.70269548,0.994295351
HZA06,2022.1.10,2022.1.11 0:50,104740,21,104761,0.000200456,99.99792436,0.383712695,101.969,97.8595,4.1095,100.0153574,0.264695901,101.408,98.7373,2.6707,859.2454671,2.491820831,871.001,850.381,20.62,860.0023722,0.383545055,861.385,858.075,3.31,860.0039133,0.269427116,860.852,858.608,2.244,860.0027929,0.314065418,861.77,858.347,3.423,0.453210606,0.029675417,0.909111,0.418617,0.490494,329.1465975,0.13108985,329.659,328.704,0.955,329.470628,0.12221272,329.844,329.083,0.761,283.033475,9.326360345,279.2991568,6.378336908,66.08238534,1.442992498
HZC14,2022.3.28,2022.3.29 20:19,89706,19,89725,0.000211758,100.0042238,0.422173825,101.9791618,98.00015301,3.979008773,100.0174519,0.317176705,101.4986605,98.39479686,3.103863592,858.1994589,4.36870134,874.5996797,845.7339362,28.86574346,859.9866766,0.660878681,862.1179893,857.4090972,4.708892193,859.9969303,0.381073313,861.0106612,858.8020986,2.208562597,859.9934458,0.320262387,861.0955253,858.9384141,2.157111173,0.450371297,0.004504847,0.488437658,0.426803967,0.061633691,332.0512651,0.129235175,332.465745,331.6547743,0.810970699,332.6201096,0.089379888,332.8850686,332.3901637,0.494904809,283.8005952,9.635255387,279.7656496,6.243130752,67.10340059,0.353258094
HZD06,2022.4.11,2022.4.14 1:51,59793,54,59847,0.000902301,100.023241,0.389601243,101.9460866,98.81371785,3.13236872,100.0183228,0.345405939,101.3875494,98.58795975,2.799589603,859.3534562,3.911377485,873.2582807,847.5582275,25.70005314,860.0061763,0.508104216,861.726302,858.1024617,3.623840293,860.0012989,0.308514835,860.9142882,859.1401729,1.774115244,860.0083091,0.292106167,861.2527262,859.1884424,2.064283774,0.449178407,0.007817794,0.477556998,0.393050139,0.084506859,332.0037532,0.133114274,332.5046914,331.626206,0.878485388,332.4727622,0.148467496,332.8644589,332.0509575,0.813501379,283.9318525,9.58479763,280.3907171,6.330877866,68.8693551,0.51700321
HZB10,2022.3.1,2022.3.1 14:41,30019,6,30025,0.000199833,100.0005595,0.430479522,101.817,98.1054,3.7116,99.98149321,0.369037193,101.419,98.3714,3.0476,859.7583476,3.056921435,871.81,849.054,22.756,860.015811,0.412279332,861.269,858.446,2.823,859.9996579,0.212870697,860.734,859.369,1.365,860.0011221,0.355041717,861.261,858.79,2.471,0.450229018,0.00301106,0.467278,0.434224,0.033054,331.9312342,0.093297761,332.292,331.657,0.635,332.471439,0.078212612,332.683,332.235,0.448,283.3676479,9.564307146,279.7368507,6.506991147,66.65086686,0.420008138
