feature,mean_abs_shap
솔트_컨베이어_온도_2_Zone_std,4.403003916595923e-05
솔트조_온도_1_Zone_mean,4.0451386119380145e-05
건조로_온도_1_Zone_min,3.639424773102457e-05
건조로_온도_1_Zone_mean,1.4811583714503232e-05
소입로_온도_4_Zone_range,1.4706891468076993e-05
소입로_온도_1_Zone_std,1.3571959377238247e-05
세정기_std,1.3561179339885711e-05
소입로_온도_2_Zone_min,9.160740664511014e-06
건조로_온도_1_Zone_std,8.379226642463244e-06
소입로_온도_1_Zone_range,7.524959110852443e-06
소입로_온도_3_Zone_mean,6.206187569733822e-06
소입로_온도_4_Zone_min,4.579572530294006e-06
건조로_온도_2_Zone_max,4.223999191414227e-06
건조로_온도_1_Zone_max,3.467242500998757e-06
소입로_온도_2_Zone_mean,2.939218707156904e-06
건조로_온도_2_Zone_min,2.643690624866973e-06
건조로_온도_2_Zone_range,2.6235212227611833e-06
솔트_컨베이어_온도_1_Zone_std,2.4396906454454766e-06
건조로_온도_2_Zone_mean,2.263487302786388e-06
소입로_CP_값_std,2.1441559019413862e-06
솔트조_온도_2_Zone_range,1.9796729844176407e-06
소입로_온도_2_Zone_std,1.7258520468109934e-06
세정기_mean,1.7026280837528631e-06
소입로_온도_4_Zone_mean,1.5633758693707713e-06
소입로_CP_값_mean,1.4954952269115228e-06
솔트조_온도_1_Zone_std,1.0758417285978798e-06
솔트조_온도_1_Zone_min,8.763811503057228e-07
소입로_온도_1_Zone_mean,8.613245141212688e-07
소입로_온도_3_Zone_min,8.085461485792293e-07
소입로_온도_3_Zone_std,7.506626311012292e-07
건조로_온도_1_Zone_range,7.031189784351172e-07
솔트조_온도_2_Zone_mean,5.270849487208055e-07
소입로_온도_2_Zone_max,4.885830521357783e-07
솔트조_온도_2_Zone_min,3.924640825469837e-07
솔트조_온도_1_Zone_range,3.499019673715035e-07
소입로_CP_값_range,3.4759654719946957e-07
소입로_온도_1_Zone_max,3.4616569311104033e-07
건조로_온도_2_Zone_std,2.720300746009205e-07
소입로_온도_3_Zone_max,2.471497969588999e-07
소입로_CP_값_max,1.5602398508538803e-07
소입로_온도_4_Zone_max,1.4412050403541688e-07
소입로_온도_2_Zone_range,9.510433892225562e-09
솔트조_온도_2_Zone_std,9.44420595425816e-09
솔트_컨베이어_온도_1_Zone_mean,9.248102521241612e-09
소입로_CP_값_min,3.763248572464694e-09
솔트조_온도_2_Zone_max,2.410761431251145e-09
솔트_컨베이어_온도_2_Zone_mean,1.606021903695143e-10
솔트조_온도_1_Zone_max,0.0
소입로_온도_4_Zone_std,0.0
소입로_온도_1_Zone_min,0.0
소입로_온도_3_Zone_range,0.0
