feature,importance
소입로_온도_3_Zone_mean,2611.87451171875
소입로_온도_4_Zone_range,959.3386840820312
소입로_온도_4_Zone_min,683.2616577148438
솔트_컨베이어_온도_2_Zone_mean,567.3170166015625
솔트조_온도_2_Zone_min,554.6471557617188
건조로_온도_2_Zone_range,508.8215026855469
소입로_온도_2_Zone_min,492.12738037109375
소입로_온도_4_Zone_mean,284.1577453613281
소입로_온도_4_Zone_max,228.2820587158203
소입로_CP_값_mean,223.83212280273438
소입로_온도_1_Zone_std,165.45555114746094
소입로_온도_2_Zone_max,157.84873962402344
솔트조_온도_1_Zone_mean,155.22401428222656
솔트조_온도_2_Zone_range,141.10238647460938
건조로_온도_2_Zone_mean,130.97535705566406
소입로_온도_4_Zone_std,121.9935073852539
솔트_컨베이어_온도_2_Zone_std,111.80437469482422
소입로_온도_3_Zone_min,104.56647491455078
솔트_컨베이어_온도_1_Zone_std,97.41815948486328
솔트조_온도_2_Zone_std,93.63289642333984
건조로_온도_2_Zone_std,79.271484375
건조로_온도_1_Zone_std,71.35791015625
세정기_std,57.79442596435547
소입로_온도_1_Zone_max,53.06682586669922
건조로_온도_1_Zone_max,52.89984130859375
소입로_온도_1_Zone_mean,40.16899871826172
건조로_온도_1_Zone_mean,38.03119659423828
소입로_CP_값_std,37.67149353027344
소입로_CP_값_max,35.52626037597656
솔트조_온도_1_Zone_std,34.45930862426758
소입로_온도_3_Zone_max,28.52201271057129
건조로_온도_2_Zone_max,25.790584564208984
건조로_온도_1_Zone_min,22.540626525878906
솔트조_온도_1_Zone_min,16.3840274810791
세정기_mean,14.490875244140625
소입로_온도_1_Zone_min,12.654701232910156
솔트조_온도_2_Zone_mean,9.856690406799316
솔트조_온도_2_Zone_max,9.631013870239258
건조로_온도_2_Zone_min,7.1570024490356445
소입로_온도_2_Zone_mean,5.947098731994629
소입로_CP_값_min,4.708156585693359
소입로_온도_3_Zone_std,2.3961377143859863
소입로_온도_1_Zone_range,1.321726679801941
소입로_온도_2_Zone_range,0.601158082485199
건조로_온도_1_Zone_range,0.5252687931060791
솔트조_온도_1_Zone_range,0.4936331808567047
소입로_온도_2_Zone_std,0.2747659385204315
소입로_온도_3_Zone_range,0.16314058005809784
솔트_컨베이어_온도_1_Zone_mean,0.05906490609049797
솔트조_온도_1_Zone_max,0.0010848635574802756
