LOT_NO,feature,mean_abs_shap
HYM30,소입로_온도_4_Zone_range,9.569610357284546e-06
HYM30,소입로_온도_1_Zone_mean,7.194566726684571e-06
HYM30,소입로_온도_2_Zone_max,6.276262998580933e-06
HYM30,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HYM30,세정기_std,5.695531368255615e-06
HYM30,솔트조_온도_2_Zone_std,5.008584260940552e-06
HYM30,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HYM30,건조로_온도_2_Zone_max,2.142241895198822e-06
HYM30,솔트조_온도_1_Zone_min,1.9050543010234833e-06
HYM30,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA01,소입로_온도_1_Zone_mean,1.2689170837402344e-05
HZA01,건조로_온도_2_Zone_max,8.568967580795288e-06
HZA01,소입로_온도_4_Zone_range,7.675678133964539e-06
HZA01,소입로_온도_2_Zone_max,6.276262998580933e-06
HZA01,세정기_std,5.695531368255615e-06
HZA01,솔트조_온도_2_Zone_std,5.008584260940552e-06
HZA01,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZA01,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZA01,솔트조_온도_1_Zone_min,1.9050543010234833e-06
HZA01,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA02,소입로_온도_4_Zone_range,9.569610357284546e-06
HZA02,소입로_온도_1_Zone_mean,7.194566726684571e-06
HZA02,소입로_온도_2_Zone_max,6.276262998580933e-06
HZA02,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZA02,세정기_std,5.695531368255615e-06
HZA02,솔트조_온도_2_Zone_std,5.008584260940552e-06
HZA02,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA02,건조로_온도_2_Zone_max,2.142241895198822e-06
HZA02,솔트조_온도_1_Zone_min,1.9050543010234833e-06
HZA02,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA05,소입로_온도_2_Zone_max,1.1192779541015625e-05
HZA05,솔트조_온도_2_Zone_std,8.788108825683594e-06
HZA05,건조로_온도_2_Zone_max,8.568967580795288e-06
HZA05,소입로_온도_4_Zone_range,7.675678133964539e-06
HZA05,세정기_std,5.695531368255615e-06
HZA05,소입로_온도_1_Zone_mean,5.457998514175415e-06
HZA05,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA05,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZA05,솔트조_온도_1_Zone_min,1.9050543010234833e-06
HZA05,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA06,소입로_온도_4_Zone_range,9.569610357284546e-06
HZA06,소입로_온도_1_Zone_mean,7.194566726684571e-06
HZA06,소입로_온도_2_Zone_max,6.276262998580933e-06
HZA06,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZA06,세정기_std,5.695531368255615e-06
HZA06,솔트조_온도_2_Zone_std,5.008584260940552e-06
HZA06,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA06,건조로_온도_2_Zone_max,2.142241895198822e-06
HZA06,솔트조_온도_1_Zone_min,1.9050543010234833e-06
HZA06,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA07,소입로_온도_4_Zone_range,9.569610357284546e-06
HZA07,소입로_온도_1_Zone_mean,8.556728363037109e-06
HZA07,소입로_온도_2_Zone_max,6.276262998580933e-06
HZA07,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZA07,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZA07,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZA07,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZA07,건조로_온도_2_Zone_max,2.142241895198822e-06
HZA07,세정기_std,2.0983535051345824e-06
HZA07,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZA08,소입로_온도_1_Zone_mean,2.8487749099731444e-05
HZA08,솔트_컨베이어_온도_2_Zone_std,1.1834533214569092e-05
