feature,mean_abs_shap
소입로_온도_1_Zone_mean,1.6873426118562384e-05
소입로_온도_4_Zone_range,1.0810822646978292e-05
소입로_온도_2_Zone_max,6.1461745029272035e-06
솔트_컨베이어_온도_2_Zone_std,5.922181398369547e-06
소입로_온도_4_Zone_max,4.613777809711392e-06
건조로_온도_2_Zone_max,4.386146182930746e-06
솔트조_온도_2_Zone_std,3.1732974513325573e-06
솔트조_온도_1_Zone_min,3.1725026103992838e-06
세정기_std,3.064760815265566e-06
솔트조_온도_1_Zone_mean,2.027231764134972e-06
소입로_CP_값_mean,0.0
소입로_CP_값_std,0.0
소입로_CP_값_max,0.0
소입로_CP_값_min,0.0
소입로_CP_값_range,0.0
솔트조_온도_1_Zone_std,0.0
솔트조_온도_2_Zone_mean,0.0
솔트조_온도_1_Zone_max,0.0
솔트조_온도_1_Zone_range,0.0
솔트조_온도_2_Zone_max,0.0
솔트조_온도_2_Zone_min,0.0
솔트조_온도_2_Zone_range,0.0
솔트_컨베이어_온도_1_Zone_mean,0.0
솔트_컨베이어_온도_1_Zone_std,0.0
솔트_컨베이어_온도_2_Zone_mean,0.0
세정기_mean,0.0
소입로_온도_4_Zone_min,0.0
건조로_온도_1_Zone_mean,0.0
소입로_온도_4_Zone_std,0.0
소입로_온도_1_Zone_min,0.0
건조로_온도_1_Zone_max,0.0
건조로_온도_1_Zone_min,0.0
건조로_온도_1_Zone_range,0.0
건조로_온도_2_Zone_mean,0.0
건조로_온도_2_Zone_std,0.0
건조로_온도_2_Zone_min,0.0
건조로_온도_2_Zone_range,0.0
소입로_온도_1_Zone_std,0.0
소입로_온도_1_Zone_max,0.0
소입로_온도_1_Zone_range,0.0
건조로_온도_1_Zone_std,0.0
소입로_온도_2_Zone_mean,0.0
소입로_온도_2_Zone_std,0.0
소입로_온도_2_Zone_min,0.0
소입로_온도_2_Zone_range,0.0
소입로_온도_3_Zone_mean,0.0
소입로_온도_3_Zone_std,0.0
소입로_온도_3_Zone_max,0.0
소입로_온도_3_Zone_min,0.0
소입로_온도_3_Zone_range,0.0
소입로_온도_4_Zone_mean,0.0
